year,member_state,verified_tco2,free_allocation_tco2,source
2019,LU,265155.0,84252.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,LV,416357.0,198868.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,MT,389164.0,177624.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,NL,2938207.0,1317375.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,NO,1572058.0,894035.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,PL,1097467.0,356269.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,PT,1554584.0,503817.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,RO,1068766.0,314061.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,SE,2764968.0,1527373.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,SI,48220.0,38891.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,SK,5357.0,12065.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2020,AT,1232596.0,2477724.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2020,BE,565483.0,519391.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2020,BG,117444.0,200580.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2020,CY,12274.0,0.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2020,CZ,99344.0,376591.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2020,DE,3960110.0,3691756.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2020,DK,207465.0,327927.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
