iso,YEAR,MONTH,CO2_t,flights,n_source,ets_covered,co2_per_flight,ln_co2,ln_flights,ln_intensity,post2012,did
ES,2023,10,1941540.5873,100482,2,1,19.32227251945622,14.478992333060253,11.517733885962533,2.96125844709772,1,1
ES,2023,11,1608595.24055,78526,2,1,20.484874316150066,14.290871834694777,11.271185059123596,3.0196867755711803,1,1
ES,2023,12,1680133.5825,79835,2,1,21.045075248950962,14.334383861611277,11.287717283773802,3.046666577837475,1,1
ES,2024,1,1575253.03984,74699,2,1,21.088007066225785,14.269926477553273,11.221221984150446,3.0487044934028265,1,1
ES,2024,2,1524204.86096,74843,2,1,20.36536297262269,14.236983429396838,11.22314786510039,3.0138355642964494,1,1
ES,2024,3,1741967.79158,86452,2,1,20.149537218109472,14.370525946889556,11.36734462560381,3.0031813212857474,1,1
ES,2024,4,1909271.64944,98252,2,1,19.432394754712373,14.462232391924262,11.495290885758418,2.9669415061658437,1,1
ES,2024,5,2035421.10266,105575,2,1,19.279385296329625,14.526213285505817,11.567176879802144,2.9590364057036718,1,1
ES,2024,6,2100095.727,107451,2,1,19.544682943853477,14.557493485940434,11.584790208681607,2.972703277258826,1,1
ES,2024,7,2255852.55228,115660,2,1,19.50417216219955,14.629038531432242,11.658410131712209,2.970628399720033,1,1
ES,2024,8,2255678.98422,113425,2,1,19.88696481569319,14.628961587246579,11.638897104532164,2.9900644827144145,1,1
ES,2024,9,2138034.66732,107749,2,1,19.84273327195612,14.575397585271965,11.58755972718047,2.9878378580914955,1,1
ES,2024,10,2111371.78534,105070,2,1,20.094906113448175,14.562848429438121,11.562382073682821,3.0004663557552997,1,1
ES,2024,11,1798324.03302,85466,2,1,21.04139696510893,14.402365696363603,11.355873915018107,3.046491781345496,1,1
ES,2024,12,1815120.90308,85005,2,1,21.35310750049997,14.41166263672974,11.35046535727183,3.0611972794579114,1,1
ES,2025,1,1689107.36066,78511,2,1,21.514276479219472,14.33971075839975,11.27099402134211,3.068716737057641,1,1
ES,2025,2,1604518.94416,77951,2,1,20.583686471757897,14.288334546355461,11.263835703140005,3.0244988432154565,1,1
ES,2025,3,1885638.69704,91266,2,1,20.660910931124405,14.449777152794834,11.421533598539797,3.0282435542550363,1,1
ES,2025,4,2025967.6575799999,101359,2,1,19.988039124103434,14.521557999981212,11.52642394912157,2.9951340508596425,1,1
ES,2025,5,2156553.50626,109590,2,1,19.678378558810113,14.584021906382914,11.604501408457438,2.9795204979254755,1,1
ES,2025,6,2210305.17076,111382,2,1,19.844365972598805,14.60864115027764,11.620721013527604,2.9879201367500365,1,1
ES,2025,7,2388939.61314,118590,2,1,20.144528317227422,14.686360148943688,11.683427444958841,3.0029327039848472,1,1
ES,2025,8,2388681.71942,116799,2,1,20.451217214359712,14.686252189897838,11.668209787695776,3.01804240220206,1,1
ES,2025,9,2231139.66664,110308,2,1,20.22645380788338,14.618023074162508,11.611031732076555,3.0069913420859535,1,1
ES,2025,10,2228969.8231,109656,2,1,20.326929881629827,14.617050073963217,11.605103471911217,3.0119466020520003,1,1
ES,2025,11,1860831.07238,87134,2,1,21.355969798012257,14.436533759005659,11.37520244258429,3.0613313164213682,1,1
ES,2025,12,1903010.4064200001,87271,2,1,21.80575914587893,14.458947614692132,11.376773498783123,3.0821741159090075,1,1
ES,2026,1,1756004.7574,79285,2,1,22.148007282588132,14.378551762399042,11.280804234623668,3.0977475277753737,1,1
ES,2026,2,1654497.5863800002,78208,2,1,21.15509393386866,14.319007947521344,11.267127223091212,3.051880724430131,1,1
ES,2026,3,1928155.3125200002,93728,2,1,20.57181752005804,14.472074307194452,11.44815224962746,3.023922057566992,1,1
ES,2026,4,2091222.3005000001,105540,2,1,19.814499720485124,14.553259285768073,11.566845306959658,2.9864139788084145,1,1
ES,2026,5,2251875.77874,114243,2,1,19.711280154932908,14.62727410630292,11.646083037732812,2.9811910685701077,1,1
ES,2026,6,2287071.69624,117015,2,1,19.54511555133957,14.642782821984456,11.670057410690523,2.972725411293933,1,1
ES,2026,7,2474073.65496,125359,2,1,19.73590771272904,14.721376603100136,11.738936899971922,2.982439703128214,1,1
FI,2010,1,160290.692,10592,1,1,15.133184667673717,11.984744270785727,9.26785427817679,2.7168899926089383,0,0
FI,2010,2,149032.862,11028,1,1,13.514042618788539,11.911922110945516,9.308192772143688,2.6037293388018297,0,0
FI,2010,3,171467.106,12526,1,1,13.688895577199425,12.052146725442553,9.435561763085358,2.6165849623571944,0,0
FI,2010,4,123628.733,8811,1,1,14.031180683236862,11.725038264626853,9.08375621986673,2.6412820447601235,0,0
FI,2010,5,161189.121,12222,1,1,13.188440598919982,11.990333619184224,9.410992885454862,2.579340733729362,0,0
FI,2010,6,166824.039,12018,1,1,13.881181477783324,12.024694877227716,9.394160804893874,2.6305340723338433,0,0
FI,2010,7,160366.026,9335,1,1,17.179006534547405,11.985214144000023,9.141526055975824,2.8436880880242,0,0
FI,2010,8,163478.542,11275,1,1,14.499205498891351,12.004437019116299,9.330343164370879,2.6740938547454207,0,0
FI,2010,9,169918.168,12776,1,1,13.299793988728867,12.043072235433334,9.455323689894849,2.5877485455384854,0,0
FI,2010,10,177092.964,12633,1,1,14.018282593208264,12.084430094015023,9.444067716830038,2.6403623771849856,0,0
FI,2010,11,167054.213,12592,1,1,13.26669417090216,12.026073667460897,9.440816970657185,2.585256696803713,0,0
FI,2010,12,155223.546,10080,1,1,15.39916130952381,11.952621589141389,9.21830854162536,2.734313047516029,0,0
FI,2011,1,187165.494,11827,1,1,15.82527217383952,12.139748499112256,9.378140332251117,2.76160816686114,0,0
FI,2011,2,172259.571,11921,1,1,14.450094035735257,12.056757751918608,9.386056829718001,2.670700922200606,0,0
FI,2011,3,199024.122,13753,1,1,14.471324220170144,12.201181312440957,9.529012261114708,2.6721690513262484,0,0
FI,2011,4,183719.737,13142,1,1,13.979587353523055,12.121166706912469,9.483568487457813,2.6375982194546563,0,0
FI,2011,5,188387.729,14369,1,1,13.11070561625722,12.146257506306783,9.572828387229206,2.573429119077576,0,0
FI,2011,6,194815.373,12824,1,1,15.191467014971927,12.179807583914585,9.459073694289389,2.7207338896251954,0,0
FI,2011,7,188662.238,10165,1,1,18.559984062961142,12.14771359474347,9.226705726062447,2.9210078686810235,0,0
FI,2011,8,191850.73,12396,1,1,15.476825588899645,12.164472900723892,9.42512911890764,2.739343781816254,0,0
FI,2011,9,193562.004,13699,1,1,14.129644791590627,12.173353174232457,9.52507811645139,2.6482750577810665,0,0
FI,2011,10,196982.07,13264,1,1,14.850879825090471,12.190867988349561,9.492808877375076,2.698059110974486,0,0
FI,2011,11,178483.768,12552,1,1,14.219548119821543,12.092252940492711,9.437635294412868,2.6546176460798425,0,0
FI,2011,12,185975.393,10978,1,1,16.94073537985061,12.133369648244566,9.303648549109834,2.8297210991347312,0,0
