iso,YEAR,MONTH,segment,nb_flights,co2_t,co2_per_flight
DK,2024,2,cargo,3766,13137.299999999997,3.4883961763143914
DK,2024,2,lowcost,21865,28293.000000000007,1.2939858220900986
DK,2024,2,mainline,34500,143164.4999999998,4.149695652173907
DK,2024,2,other,11115,9168.8,0.8249032838506523
DK,2024,2,regional,20055,11968.0,0.5967589129892795
DK,2024,3,business,5842,2181.500000000001,0.37341663813762427
DK,2024,3,cargo,3746,13323.400000000005,3.556700480512548
DK,2024,3,lowcost,32804,34026.10000000001,1.0372546030971836
DK,2024,3,mainline,52719,152541.6000000001,2.8934843225402624
DK,2024,3,other,11777,10467.200000000004,0.8887832215334979
DK,2024,3,regional,23559,13466.8,0.5716201876140753
DK,2024,4,business,6505,2423.2000000000003,0.3725134511913913
DK,2024,4,cargo,3976,13192.099999999995,3.3179325955734393
DK,2024,4,lowcost,33611,43560.800000000025,1.2960280860432605
DK,2024,4,mainline,42244,164566.99999999997,3.895630148660164
DK,2024,4,other,10424,7872.999999999998,0.7552762854950114
DK,2024,4,regional,22624,13948.500000000002,0.6165355374823197
DK,2024,5,business,6656,2651.499999999999,0.3983623798076922
DK,2024,5,cargo,3789,13128.099999999999,3.4647928213248873
DK,2024,5,lowcost,36071,47897.19999999999,1.3278589448587506
DK,2024,5,mainline,50225,173000.79999999964,3.4445156794425014
DK,2024,5,other,13758,10045.8,0.7301788050588748
DK,2024,5,regional,23346,14742.000000000002,0.6314572089437164
DK,2024,6,business,9065,3396.199999999998,0.37464975179260873
DK,2024,6,cargo,3666,11716.8,3.1960720130932896
DK,2024,6,lowcost,35484,46861.700000000026,1.3206431067523399
DK,2024,6,mainline,46361,173029.0000000004,3.732210262936529
DK,2024,6,other,15503,9772.299999999992,0.6303489647165059
DK,2024,6,regional,27850,14904.999999999996,0.5351885098743266
DK,2024,7,business,7226,3212.9999999999986,0.4446443398837529
DK,2024,7,cargo,4315,13702.2,3.1754808806488994
DK,2024,7,lowcost,36046,48542.70000000001,1.3466875658880322
DK,2024,7,mainline,53698,185441.0999999999,3.4534079481544917
DK,2024,7,other,18085,11120.299999999988,0.6148907934752551
DK,2024,7,regional,35030,16058.999999999996,0.45843562660576637
DK,2024,8,business,8204,3031.700000000001,0.36953924914675784
DK,2024,8,cargo,4111,13752.700000000003,3.345341765993676
DK,2024,8,lowcost,35682,48876.9,1.3697914915083236
DK,2024,8,mainline,52956,198707.40000000002,3.7523113528212106
DK,2024,8,other,15951,11042.399999999994,0.6922700771111525
DK,2024,8,regional,23730,15593.999999999998,0.657142857142857
DK,2024,9,business,6819,2892.299999999999,0.4241531016278045
DK,2024,9,cargo,5086,13608.999999999995,2.6757766417616975
DK,2024,9,lowcost,35324,48577.19999999997,1.3751896727437427
DK,2024,9,mainline,47352,198816.80000000002,4.198699104578476
DK,2024,9,other,14688,10594.599999999991,0.7213099128540299
DK,2024,9,regional,23185,14528.400000000005,0.6266292861764073
DK,2024,10,business,5534,2499.9999999999995,0.4517528008673653
DK,2024,10,cargo,4212,14283.400000000003,3.391120607787275
DK,2024,10,lowcost,42160,44908.700000000026,1.0651968690702094
DK,2024,10,mainline,46584,195695.10000000012,4.200908037094284
DK,2024,10,other,15073,10952.699999999995,0.7266436674849065
DK,2024,10,regional,31878,15081.400000000001,0.4730974339669992
DK,2024,11,business,3905,2104.8,0.5390012804097312
DK,2024,11,cargo,4181,14756.9,3.5295144702224346
DK,2024,11,lowcost,36223,32016.900000000005,0.8838831681528312
DK,2024,11,mainline,41286,167886.6,4.066429298067142
DK,2024,11,other,10903,9570.500000000002,0.8777859304778503
DK,2024,11,regional,18094,11929.4,0.6593014258870343
DK,2024,12,business,4441,2039.000000000001,0.45913082639045283
DK,2024,12,cargo,3776,14614.900000000001,3.870471398305085
DK,2024,12,lowcost,26190,34912.099999999984,1.333031691485299
DK,2024,12,mainline,40406,172945.8,4.280200960253428
DK,2024,12,other,9857,9678.099999999997,0.9818504616008924
DK,2024,12,regional,20911,11400.400000000001,0.5451867438190426
EE,2019,1,business,662,442.3,0.6681268882175226
EE,2019,1,cargo,1193,7341.3,6.153646269907796
EE,2019,1,lowcost,7376,5709.9,0.7741187635574837
EE,2019,1,mainline,9624,48994.00000000006,5.090814630091444
EE,2019,1,other,1648,3348.399999999998,2.0317961165048533
EE,2019,1,regional,9944,5128.0,0.5156878519710378
EE,2019,2,business,624,421.20000000000005,0.675
EE,2019,2,cargo,994,5643.799999999998,5.677867203219314
EE,2019,2,lowcost,6405,5102.300000000003,0.7966120218579239
EE,2019,2,mainline,17294,46022.49999999999,2.6611830692725795
EE,2019,2,other,1177,2381.1,2.0230246389124895
EE,2019,2,regional,7598,4507.999999999999,0.5933140300078967
EE,2019,3,business,791,538.4000000000003,0.6806573957016439
EE,2019,3,cargo,1265,8329.300000000005,6.584426877470359
